,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
683,3.979,3.790,5.193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
684,11.076,10.855,5.303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
685,17.568,17.323,5.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
686,23.342,23.081,5.390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
687,28.256,27.991,5.369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
688,31.980,31.716,5.311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
689,34.519,34.265,5.221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
690,35.826,35.593,5.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
691,35.770,35.561,4.982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
692,34.491,34.314,4.855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
693,31.990,31.848,4.730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
694,28.181,28.075,4.597,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
695,23.150,23.084,4.456,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
696,17.143,17.122,4.312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
697,10.423,10.445,4.175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
698,3.009,3.074,4.044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
699,-4.876,-4.770,3.929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
700,-12.946,-12.802,3.838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
701,-20.846,-20.667,3.776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
702,-28.111,-27.903,3.763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
703,-34.572,-34.342,3.803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
704,-40.378,-40.132,3.887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
705,-44.788,-44.539,3.990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
706,-47.877,-47.635,4.099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
707,-50.001,-49.765,4.212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
708,-50.620,-50.401,4.306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
709,-49.785,-49.593,4.363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
710,-47.624,-47.468,4.370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
711,-44.078,-43.968,4.329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
712,-39.422,-39.361,4.241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
713,-33.828,-33.818,4.110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
714,-27.256,-27.301,3.953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
715,-19.955,-20.057,3.782,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
716,-12.223,-12.381,3.620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
717,-4.372,-4.582,3.492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
718,3.533,3.275,3.410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
719,11.287,10.984,3.377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
720,18.701,18.361,3.389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
721,25.645,25.277,3.442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
722,31.863,31.473,3.523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
723,37.231,36.823,3.613,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
724,41.840,41.424,3.704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
725,45.642,45.221,3.776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
726,48.595,48.176,3.825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
727,50.650,50.236,3.858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
728,51.863,51.462,3.867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
729,52.386,52.002,3.851,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
730,52.386,52.022,3.810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
731,51.773,51.432,3.753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
732,50.549,50.233,3.684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
733,48.785,48.494,3.602,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
734,46.734,46.468,3.521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
735,44.339,44.103,3.436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
736,41.581,41.378,3.347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
737,38.458,38.287,3.256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
738,35.292,35.152,3.169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
739,32.102,31.992,3.084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
740,28.743,28.661,2.999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
741,25.172,25.119,2.914,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
742,21.611,21.586,2.830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
